7705_Scer|YML053C
782_Cpar|RPL12
2061_Agos|MPC2
7528_Scas|STE4
1149_Agos|TSM1
1303_Scer|RPS42
2920_Agos|SEC4
8109_Lelo|CKA1
9325_Clus|ULP1
1744_Kwal|RPL14
9064_Scer|CDC6
9164_Sjap|YOR365C
9065_Spar|CDC6
8409_Sbay|ENA5
3024_Ncra|MAC1
5686_Scer|GRX2
3343_Scer|YMR105W-A
3450_Ylip|DRE2
9106_Sjap|RPS30A
3759_Ncra|BET3
4728_Agos|BIO5
1394_Soct|FBA1
7708_Sbay|YML053C
3418_Clus|CDC20
8957_Scer|SNA2
6189_Clus|ATG11
2884_Ctro|LPX1
7514_Calb|MAK3
8975_Scer|YGR161W-C
2979_Scer|MAC1
51_Scer|TPS3
3695_Sbay|HTA2
4978_Sjap|SOL4
1339_Ctro|XUT1
8159_Scer|MGA1
6672_Scas|ISD11
4093_Scer|YPT10
7227_Scer|SRP54
6662_Ncra|SVS1
7915_Scer|SDH5
2299_Cpar|NBL1
3621_Ylip|SBH2
4294_Sklu|CRD1
6423_Sklu|IGD1
952_Scas|PRE2
6297_Kwal|YMR317W
8289_Ncra|NOG2
8736_Scas|GAL2
795_Scer|SER33
7983_Spar|VID27
4996_Ncra|INO4
8326_Cgui|ORT1
9355_Smik|YFL054C
7160_Scer|STH1
7004_Scer|AIM24
1619_Lelo|CKA2
8864_Klac|FCY21
5124_Cpar|MEF1
5728_Smik|EDS1
7534_Dhan|STE4
1754_Ncra|RPL14
1943_Calb|KEL1
6971_Dhan|ORM1
1746_Sklu|RPL14
7211_Sklu|MAM3
1978_Agos|RPL37B
8934_Scer|RPC10
6987_Cgla|RVS161
2429_Anid|SUR7
2239_Clus|ELO1
7380_Smik|SER3
9113_Scer|YOR365C
3627_Scer|SGS1
9386_Spar|HTB2
4204_Sbay|MON1
4047_Klac|HXT3
664_Sklu|COQ6
7193_Ylip|STH1
1243_Sklu|RPS16A
1357_Sklu|SPO1
9314_Scer|ULP1
2557_Scer|MEC1
4278_Scer|CRD1
4548_Scas|HMLALPHA2
4200_Agos|YDL186W
8896_Klac|TMA108
6977_Ylip|ORM1
3518_Anid|ADE6
9296_Smik|TMA17
4503_Ctro|DAS1
7778_Scer|AEP3
1089_Anid|SHP1
8783_Klac|GAL2
1196_Ncra|HAT2
6851_Smik|MPE1
8593_Lelo|REV3
2127_Agos|SNF12
9404_Dhan|HTB2
2510_Ylip|ACO1
6905_Clus|YDL124W
799_Smik|SER33
6657_Scas|SVS1
5026_Scas|CIN1
7454_Agos|BNR1
520_Sbay|AGE1
7116_Scas|HNT1
7843_Spar|GPM1
5730_Smik|EDS1
7893_Sjap|SPC3
8595_Anid|REV3
7627_Ncra|PPH22
160_Cgla|HXK1
5546_Scer|YOR338W
125_Ncra|VPS15
855_Clus|RPS23A
6082_Smik|HSL1
8085_Scas|CKA1
6604_Clus|SRB8
3344_Scer|ATG21
7551_Scer|PPH22
3035_Cgla|SFH1
8487_Ctro|ENA2
455_Cgla|LPG20
2183_Cgui|BIO2
2663_Kwal|MDH3
5301_Calb|STP1
6402_Kwal|IGD1
9247_Scer|PAC1
9308_Clus|TMA17
3972_Sbay|HXT3
531_Agos|AGE1
1271_Calb|TSR1
3937_Smik|HXT3
1712_Anid|TSC2
7378_Spar|SER3
6825_Agos|TRX1
3594_Ctro|OAF3
4192_Scer|YDL186W
1485_Calb|RPS6A
2574_Anid|MEC1
2689_Scer|YNL011C
912_Spar|ZCF38
6613_Ncra|SRB8
3906_Scer|HXT3
980_Scas|RPL16A
7303_Spar|SPC42
1484_Ctro|RPS6A
6318_Sklu|YMR317W
8455_Scer|ENA2
8550_Ncra|RRT14
3582_Scas|OAF3
4515_Scer|PAU10
2797_Smik|OXA1
4487_Scer|DAS1
1660_Lelo|MAL2
7314_Spar|PFA4
145_Lelo|CSP37
5953_Smik|MATALPHA2
6631_Cgui|YML131W
8397_Scer|TFB6
1548_Calb|DUR1,2
6005_Scer|FHN1
4389_Sbay|MRH4
6921_Scer|ZPS1
360_Spar|RPP2B
7285_Kwal|VTC3
473_Cgui|LPG20
5089_Cgla|LEU1
7206_Sbay|MAM3
7313_Scer|PFA4
2539_Scer|ARG81
3122_Sklu|SIT1
7198_Sjap|STH1
657_Spar|COQ6
344_Agos|LIP3
2741_Agos|MIP6
86_Calb|TPS3
249_Ctro|RPS5
5895_Smik|FUN19
1340_Calb|XUT1
7065_Ncra|IDP3
7840_Scer|GPM1
1636_Scas|MAL2
2457_Smik|ADP1
3523_Scer|COX19
1414_Anid|AMO2
2303_Ylip|NBL1
9343_Ncra|ULP1
8527_Ncra|YJR084W
965_Anid|PRE2
9082_Anid|CDC6
190_Cgla|RPL6
688_Agos|MEX67
9375_Spar|GIS4
3471_Spar|PHO88
7042_Kwal|IDP3
801_Sbay|SER33
8030_Calb|PRB1
1488_Ylip|RPS6A
1835_Ncra|DCP2
3780_Cgui|ASM4
7614_Agos|PPH22
2415_Agos|SUR7
478_Calb|LPG20
166_Sklu|HXK1
5223_Scer|HMLALPHA1
1856_Calb|RPS19A
7503_Scer|MAK3
2735_Cgla|MIP6
